cod_dpto,dpto,departamento_limpio,anio,total_casos,casos_femenino,casos_masculino,casos_adultos,casos_menores,ipm_total
15,BOYACÁ,BOYACA,2017,3977,3397,580,3781,88,
15,BOYACÁ,BOYACA,2018,3467,2928,539,3299,73,16.5
15,BOYACÁ,BOYACA,2019,3652,3039,613,3470,100,12.8
15,BOYACÁ,BOYACA,2020,4178,3302,875,3929,132,11.7
15,BOYACÁ,BOYACA,2021,4404,3508,895,4169,113,10.9
15,BOYACÁ,BOYACA,2022,3057,2439,618,2860,81,9.6
15,BOYACÁ,BOYACA,2023,4358,3056,1295,4083,167,9.9
15,BOYACÁ,BOYACA,2024,4509,3420,1078,4240,148,6.9
15,BOYACÁ,BOYACA,2025,4300,3271,1028,4038,132,
17,CALDAS,CALDAS,2010,386,322,64,355,17,
17,CALDAS,CALDAS,2011,414,338,76,390,3,
17,CALDAS,CALDAS,2012,500,426,74,453,16,
17,CALDAS,CALDAS,2013,478,399,79,446,9,
17,CALDAS,CALDAS,2014,579,475,104,543,14,
17,CALDAS,CALDAS,2015,894,762,131,835,16,
17,CALDAS,CALDAS,2016,1139,911,228,1061,35,
17,CALDAS,CALDAS,2017,1063,882,181,981,26,
17,CALDAS,CALDAS,2018,856,704,152,808,15,13.8
17,CALDAS,CALDAS,2019,1400,1109,291,1285,44,14.3
17,CALDAS,CALDAS,2020,1587,1265,322,1444,66,14.5
17,CALDAS,CALDAS,2021,1611,1276,334,1503,60,11.5
17,CALDAS,CALDAS,2022,1263,1011,252,1184,29,10.5
17,CALDAS,CALDAS,2023,1395,1093,299,1317,32,7.4
17,CALDAS,CALDAS,2024,1460,1120,337,1374,43,9.2
17,CALDAS,CALDAS,2025,1147,762,382,1067,25,
18,CAQUETÁ,CAQUETA,2010,506,412,94,475,5,
18,CAQUETÁ,CAQUETA,2011,404,347,57,350,14,
18,CAQUETÁ,CAQUETA,2012,629,536,93,561,24,
18,CAQUETÁ,CAQUETA,2013,250,222,28,238,2,
18,CAQUETÁ,CAQUETA,2014,413,363,50,396,2,
18,CAQUETÁ,CAQUETA,2015,613,540,72,592,1,
18,CAQUETÁ,CAQUETA,2016,633,559,74,585,17,
18,CAQUETÁ,CAQUETA,2017,540,467,73,496,19,
18,CAQUETÁ,CAQUETA,2018,531,440,91,485,30,26.9
18,CAQUETÁ,CAQUETA,2019,501,405,96,464,18,25.7
18,CAQUETÁ,CAQUETA,2020,577,484,93,528,26,26.1
18,CAQUETÁ,CAQUETA,2021,653,534,118,610,10,23.1
18,CAQUETÁ,CAQUETA,2022,405,349,56,368,18,19.6
18,CAQUETÁ,CAQUETA,2023,502,431,71,464,17,17.2
18,CAQUETÁ,CAQUETA,2024,492,420,72,450,23,13.9
18,CAQUETÁ,CAQUETA,2025,479,402,77,443,19,
85,CASANARE,CASANARE,2010,469,357,112,404,32,
85,CASANARE,CASANARE,2011,274,214,60,259,6,
85,CASANARE,CASANARE,2012,224,182,42,197,9,
85,CASANARE,CASANARE,2013,589,492,97,551,9,
85,CASANARE,CASANARE,2014,458,393,65,434,4,
85,CASANARE,CASANARE,2015,877,787,90,828,8,
85,CASANARE,CASANARE,2016,975,848,127,935,9,
85,CASANARE,CASANARE,2017,912,779,133,875,8,
85,CASANARE,CASANARE,2018,710,593,117,657,21,19.0
85,CASANARE,CASANARE,2019,705,582,123,635,39,18.3
85,CASANARE,CASANARE,2020,755,614,141,706,13,19.6
85,CASANARE,CASANARE,2021,855,724,129,819,15,19.5
85,CASANARE,CASANARE,2022,673,538,132,641,17,13.3
85,CASANARE,CASANARE,2023,893,651,239,860,17,15.0
85,CASANARE,CASANARE,2024,1018,764,246,972,16,11.3
85,CASANARE,CASANARE,2025,868,675,188,827,10,
19,CAUCA,CAUCA,2010,59,51,8,50,0,
19,CAUCA,CAUCA,2011,47,33,13,44,0,
19,CAUCA,CAUCA,2012,188,167,20,174,0,
19,CAUCA,CAUCA,2013,224,173,50,211,1,
19,CAUCA,CAUCA,2014,872,753,119,826,9,
19,CAUCA,CAUCA,2015,2263,1931,332,2136,19,
19,CAUCA,CAUCA,2016,3057,2538,519,2877,37,
19,CAUCA,CAUCA,2017,2828,2392,436,2689,32,
19,CAUCA,CAUCA,2018,2643,2134,508,2502,57,27.7
19,CAUCA,CAUCA,2019,3092,2499,588,2866,97,24.0
19,CAUCA,CAUCA,2020,2465,1981,484,2303,70,28.2
19,CAUCA,CAUCA,2021,2758,2131,626,2587,63,18.6
19,CAUCA,CAUCA,2022,2647,2099,548,2514,45,18.3
19,CAUCA,CAUCA,2023,2789,2196,585,2650,53,15.8
19,CAUCA,CAUCA,2024,2359,1925,432,2229,46,14.0
19,CAUCA,CAUCA,2025,1929,1543,384,1839,38,
20,CESAR,CESAR,2010,236,208,28,231,4,
20,CESAR,CESAR,2011,58,43,15,49,5,
20,CESAR,CESAR,2012,61,44,17,56,2,
20,CESAR,CESAR,2013,138,112,26,130,4,
20,CESAR,CESAR,2014,244,215,29,234,4,
20,CESAR,CESAR,2015,1419,1240,179,1362,19,
20,CESAR,CESAR,2016,881,739,142,852,4,
20,CESAR,CESAR,2017,1067,892,175,1024,18,
20,CESAR,CESAR,2018,1027,872,154,954,33,31.7
20,CESAR,CESAR,2019,1268,1044,224,1195,40,25.5
20,CESAR,CESAR,2020,1644,1333,311,1560,45,27.2
20,CESAR,CESAR,2021,2147,1766,381,2030,44,25.3
20,CESAR,CESAR,2022,2123,1725,397,1959,102,19.1
20,CESAR,CESAR,2023,1918,1577,341,1836,32,17.7
20,CESAR,CESAR,2024,2236,1825,403,2117,54,13.4
20,CESAR,CESAR,2025,1945,1472,458,1834,69,
27,CHOCÓ,CHOCO,2010,15,12,3,15,0,
27,CHOCÓ,CHOCO,2011,17,15,2,15,1,
27,CHOCÓ,CHOCO,2012,40,32,8,39,0,
27,CHOCÓ,CHOCO,2013,183,166,17,175,4,
27,CHOCÓ,CHOCO,2014,202,161,41,197,3,
27,CHOCÓ,CHOCO,2015,313,270,43,300,6,
27,CHOCÓ,CHOCO,2016,287,250,37,278,2,
27,CHOCÓ,CHOCO,2017,245,208,37,231,5,
27,CHOCÓ,CHOCO,2018,225,187,38,212,1,46.3
27,CHOCÓ,CHOCO,2019,254,217,37,242,3,42.3
27,CHOCÓ,CHOCO,2020,341,276,65,315,16,49.0
27,CHOCÓ,CHOCO,2021,321,260,61,312,7,36.0
27,CHOCÓ,CHOCO,2022,306,256,50,297,4,36.8
27,CHOCÓ,CHOCO,2023,349,279,69,326,14,37.4
27,CHOCÓ,CHOCO,2024,350,290,56,326,13,33.9
27,CHOCÓ,CHOCO,2025,387,316,65,361,12,
23,CÓRDOBA,CORDOBA,2010,105,67,38,98,1,
23,CÓRDOBA,CORDOBA,2011,189,125,63,177,3,
23,CÓRDOBA,CORDOBA,2012,368,249,119,346,5,
23,CÓRDOBA,CORDOBA,2013,210,145,65,203,3,
23,CÓRDOBA,CORDOBA,2014,667,542,125,641,2,
23,CÓRDOBA,CORDOBA,2015,1819,1575,244,1768,9,
23,CÓRDOBA,CORDOBA,2016,1967,1734,233,1902,13,
23,CÓRDOBA,CORDOBA,2017,1624,1377,246,1533,31,
23,CÓRDOBA,CORDOBA,2018,1639,1419,220,1535,41,34.4
23,CÓRDOBA,CORDOBA,2019,2047,1699,348,1921,51,34.7
23,CÓRDOBA,CORDOBA,2020,1648,1375,273,1567,27,31.8
23,CÓRDOBA,CORDOBA,2021,2242,1838,404,2135,44,26.9
23,CÓRDOBA,CORDOBA,2022,1280,1027,253,1240,5,26.9
23,CÓRDOBA,CORDOBA,2023,868,715,153,834,8,21.4
23,CÓRDOBA,CORDOBA,2024,840,658,182,811,11,25.7
23,CÓRDOBA,CORDOBA,2025,985,783,198,934,23,
25,CUNDINAMARCA,CUNDINAMARCA,2010,4202,3467,735,4027,54,
25,CUNDINAMARCA,CUNDINAMARCA,2011,3536,2882,654,3415,32,
25,CUNDINAMARCA,CUNDINAMARCA,2012,3848,2976,869,3667,40,
25,CUNDINAMARCA,CUNDINAMARCA,2013,4188,3263,922,3999,49,
25,CUNDINAMARCA,CUNDINAMARCA,2014,10012,8254,1758,9519,214,
25,CUNDINAMARCA,CUNDINAMARCA,2015,17331,14092,3237,16428,377,
25,CUNDINAMARCA,CUNDINAMARCA,2016,29977,23624,6350,28670,699,
25,CUNDINAMARCA,CUNDINAMARCA,2017,37855,29615,8199,35118,1708,
25,CUNDINAMARCA,CUNDINAMARCA,2018,39429,30139,9225,36083,2116,10.5
25,CUNDINAMARCA,CUNDINAMARCA,2019,43462,32737,10694,39284,2762,12.3
25,CUNDINAMARCA,CUNDINAMARCA,2020,46971,34552,12413,44715,1449,11.4
25,CUNDINAMARCA,CUNDINAMARCA,2021,46624,34048,12529,44875,1043,9.4
25,CUNDINAMARCA,CUNDINAMARCA,2022,43974,29969,13963,41677,1423,7.3
25,CUNDINAMARCA,CUNDINAMARCA,2023,46283,28811,17299,42685,2352,7.6
25,CUNDINAMARCA,CUNDINAMARCA,2024,54635,38798,14882,47820,4348,7.4
25,CUNDINAMARCA,CUNDINAMARCA,2025,52358,37622,14187,45486,4585,
94,GUAINÍA,GUAINIA,2010,19,9,9,19,0,
94,GUAINÍA,GUAINIA,2011,42,20,22,41,0,
94,GUAINÍA,GUAINIA,2012,57,32,25,53,1,
94,GUAINÍA,GUAINIA,2013,32,23,9,32,0,
