cod_dpto,dpto,departamento_limpio,anio,total_casos,casos_femenino,casos_masculino,casos_adultos,casos_menores,ipm_total
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2012,27,23,4,26,0,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2013,46,42,4,46,0,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2014,140,116,24,139,0,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2015,162,142,20,156,2,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2016,212,183,29,210,0,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2017,159,141,18,153,1,
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2018,118,109,9,117,0,8.5
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2019,154,127,27,139,6,8.2
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2020,161,137,24,152,5,11.9
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2021,209,176,33,202,4,7.0
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2022,210,178,32,199,3,8.8
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2023,211,171,40,200,6,5.0
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2024,225,191,34,214,8,6.0
88,SAN ANDRES Y PROVIDENCIA,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",2025,172,139,33,162,3,
68,SANTANDER,SANTANDER,2010,2653,2262,390,2510,45,
68,SANTANDER,SANTANDER,2011,3655,3111,542,3437,77,
68,SANTANDER,SANTANDER,2012,3796,3251,543,3586,49,
68,SANTANDER,SANTANDER,2013,3809,3204,600,3593,56,
68,SANTANDER,SANTANDER,2014,4867,4194,673,4703,30,
68,SANTANDER,SANTANDER,2015,6210,5285,925,6005,56,
68,SANTANDER,SANTANDER,2016,6698,5545,1153,6438,78,
68,SANTANDER,SANTANDER,2017,5334,4438,896,5053,107,
68,SANTANDER,SANTANDER,2018,5075,4114,961,4735,155,12.6
68,SANTANDER,SANTANDER,2019,5225,4263,961,4928,128,12.4
68,SANTANDER,SANTANDER,2020,5914,4712,1202,5567,176,12.5
68,SANTANDER,SANTANDER,2021,6535,5166,1364,6106,220,13.3
68,SANTANDER,SANTANDER,2022,4252,3214,1036,3915,184,10.4
68,SANTANDER,SANTANDER,2023,4800,3406,1385,4587,91,9.8
68,SANTANDER,SANTANDER,2024,6153,4458,1692,5816,159,6.8
68,SANTANDER,SANTANDER,2025,4897,3574,1307,4691,102,
70,SUCRE,SUCRE,2010,853,709,144,818,7,
70,SUCRE,SUCRE,2011,861,713,145,817,5,
70,SUCRE,SUCRE,2012,760,627,132,720,11,
70,SUCRE,SUCRE,2013,789,574,215,734,21,
70,SUCRE,SUCRE,2014,593,483,110,573,7,
70,SUCRE,SUCRE,2015,1052,910,141,1002,16,
70,SUCRE,SUCRE,2016,1547,1323,224,1463,34,
70,SUCRE,SUCRE,2017,1235,1039,196,1183,10,
70,SUCRE,SUCRE,2018,1238,1017,221,1184,17,41.7
70,SUCRE,SUCRE,2019,1188,1006,182,1120,17,33.3
70,SUCRE,SUCRE,2020,1189,954,235,1137,24,38.1
70,SUCRE,SUCRE,2021,1537,1242,294,1460,45,30.3
70,SUCRE,SUCRE,2022,1038,846,188,983,12,26.0
70,SUCRE,SUCRE,2023,1112,921,190,1059,23,23.1
70,SUCRE,SUCRE,2024,1245,1004,241,1168,32,21.8
70,SUCRE,SUCRE,2025,1034,800,231,960,31,
73,TOLIMA,TOLIMA,2010,307,260,47,290,5,
73,TOLIMA,TOLIMA,2011,338,271,67,324,5,
73,TOLIMA,TOLIMA,2012,360,286,72,348,3,
73,TOLIMA,TOLIMA,2013,750,598,151,702,12,
73,TOLIMA,TOLIMA,2014,1418,1201,217,1381,13,
73,TOLIMA,TOLIMA,2015,2853,2390,462,2753,22,
73,TOLIMA,TOLIMA,2016,3372,2705,667,3207,66,
73,TOLIMA,TOLIMA,2017,2383,1966,417,2237,70,
73,TOLIMA,TOLIMA,2018,2437,1875,558,2285,90,22.2
73,TOLIMA,TOLIMA,2019,3196,2534,662,2969,138,15.2
73,TOLIMA,TOLIMA,2020,3161,2391,770,2964,108,19.0
73,TOLIMA,TOLIMA,2021,3502,2587,914,3320,106,16.6
73,TOLIMA,TOLIMA,2022,3164,2412,751,2973,97,10.5
73,TOLIMA,TOLIMA,2023,3370,2452,915,3226,63,12.9
73,TOLIMA,TOLIMA,2024,4004,2979,1022,3786,113,12.6
73,TOLIMA,TOLIMA,2025,3142,2293,844,2953,112,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2010,4410,3626,782,4208,42,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2011,5585,4646,936,5363,44,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2012,5925,4869,1054,5652,76,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2013,5380,4420,957,5145,51,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2014,5926,4969,957,5685,80,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2015,7238,5937,1301,6915,100,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2016,7631,6315,1316,7259,118,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2017,7271,5891,1378,6828,196,
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2018,7533,6136,1397,7047,215,14.1
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2019,9661,7680,1981,8812,523,10.8
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2020,8452,6537,1915,7715,468,11.1
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2021,9880,7714,2159,9301,340,8.6
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2022,9044,7015,2021,8530,243,9.7
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2023,9316,7003,2259,8777,258,7.2
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2024,11572,8432,3038,10764,397,6.2
76,VALLE DEL CAUCA,VALLE DEL CAUCA,2025,8896,6522,2289,8345,293,
97,VAUPÉS,VAUPES,2010,3,3,0,3,0,
97,VAUPÉS,VAUPES,2012,1,1,0,1,0,
97,VAUPÉS,VAUPES,2013,4,3,1,4,0,
97,VAUPÉS,VAUPES,2014,2,1,1,2,0,
97,VAUPÉS,VAUPES,2015,14,12,2,14,0,
97,VAUPÉS,VAUPES,2016,39,32,7,38,0,
97,VAUPÉS,VAUPES,2017,66,52,14,65,1,
97,VAUPÉS,VAUPES,2018,76,64,12,73,0,68.5
97,VAUPÉS,VAUPES,2019,91,76,15,88,0,66.5
97,VAUPÉS,VAUPES,2020,68,53,15,65,2,65.6
97,VAUPÉS,VAUPES,2021,104,84,20,103,0,52.7
97,VAUPÉS,VAUPES,2022,94,75,19,89,4,47.1
97,VAUPÉS,VAUPES,2023,77,63,14,75,0,55.7
97,VAUPÉS,VAUPES,2024,104,78,26,96,2,37.4
97,VAUPÉS,VAUPES,2025,80,55,25,80,0,
99,VICHADA,VICHADA,2010,21,17,2,21,0,
99,VICHADA,VICHADA,2011,13,10,3,13,0,
99,VICHADA,VICHADA,2012,36,32,4,33,1,
99,VICHADA,VICHADA,2013,40,35,5,39,0,
99,VICHADA,VICHADA,2014,25,20,5,23,1,
99,VICHADA,VICHADA,2015,21,19,2,20,0,
99,VICHADA,VICHADA,2016,42,39,3,42,0,
99,VICHADA,VICHADA,2017,63,52,11,63,0,
99,VICHADA,VICHADA,2018,46,38,8,45,1,63.5
99,VICHADA,VICHADA,2019,58,50,8,57,0,72.2
99,VICHADA,VICHADA,2020,52,47,5,48,0,75.6
99,VICHADA,VICHADA,2021,54,42,11,50,1,64.8
99,VICHADA,VICHADA,2022,56,40,13,52,1,75.4
99,VICHADA,VICHADA,2023,98,73,22,87,4,65.4
99,VICHADA,VICHADA,2024,69,62,6,66,0,70.2
99,VICHADA,VICHADA,2025,67,48,11,58,2,
